iteration,avg_score
1,57.13
2,58.22
3,58.60
4,59.02
5,59.57
6,60.32
7,60.39
8,60.73
9,61.14
10,61.78
11,62.37
12,62.13
13,62.79
14,62.78
15,62.75
16,63.03
17,63.48
18,63.66
19,64.52
20,64.52
21,63.97
22,64.72
23,65.05
24,64.94
25,64.93
26,65.30
27,65.47
28,65.31
29,65.12
30,66.00
31,65.68
32,65.77
33,66.13
34,66.26
35,66.12
36,65.95
37,66.16
38,66.36
39,66.74
40,66.07
41,66.27
42,66.42
43,66.69
44,66.60
45,66.69
46,66.64
47,66.67
48,66.77
49,66.63
50,66.68
51,67.30
52,67.24
53,67.07
54,67.30
55,67.39
56,67.33
57,68.06
58,67.16
59,67.40
60,67.53
61,67.50
62,66.47
63,67.02
64,66.71
65,67.18
66,67.24
67,67.16
68,67.06
69,67.17
70,67.36
71,67.49
72,67.00
73,67.10
74,67.19
75,67.31
76,67.36
77,67.12
78,67.33
79,67.66
80,67.00
